dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
14;77;-0,0;1077;1,2353993008754914e-06;0,134767352
14;650;-0,0;9099;1,0437231419374276e-05;1,11702543
14;590;-0,0;8260;9,474835863724753e-06;1,013221988
14;245;-0,0;3430;3,934465740021295e-06;0,42560582
14;226;-0,0;3164;3,629343907121685e-06;0,394026129
14;662;-0,0;9267;1,0629939945416135e-05;1,136553817
14;816;-0,0;11423;1,3103032696286665e-05;1,421834518
14;160;-0,0;2239;2,5682999393316853e-06;0,27994556
14;308;-0,0;4311;4,945038427181284e-06;0,532969231
14;1451;-0,0;20314;2,3301672607228163e-05;2,512895348
14;74;-0,0;1036;1,1883692439247995e-06;0,132176659
14;159;-0,0;2225;2,552240895494864e-06;0,276734766
14;306;-0,0;4283;4,9129203395076414e-06;0,527311193
14;278;-0,0;3891;4,4632671120766355e-06;0,477155185
14;444;-0,0;6215;7,129068388989024e-06;0,765852635
14;625;-0,0;8749;1,0035755323453736e-05;1,108875963
14;148;-0,0;2071;2,375591413289826e-06;0,258698532
14;109;-0,0;1526;1,750435778213556e-06;0,19508068
14;934;-0,0;13075;1,4997999869031614e-05;1,666878906
14;506;-0,0;7083;8,124729106871964e-06;0,892228168
